referrerId,kpi,referralCount,rewardAmount,totalTransactions
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,182685250679,8242,533957573,827521
0xda404bfda2a5dcda88fd2aa9b9e0c32a677bc8eb,2394588018,9,61132254,3661
0x4ea48e01f1314db0925653e30617b254d1cf5366,4285380404,278,81780488,11289
0x22886c71a4c1fa2824bd86210ead1c310b3d7cf5,2932367,82,2139262,14
0x53eaf4cd171842d8144e45211308e5d90b4b0088,4107967,19,2532027,8
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,14019824921,1264,147919797,77110
0xaf108dd1ac530f1c4bded13f43e336a9cec92b44,75930071,6,10885839,258
0x000cbf0bec88214aab15bc1fa40d3c30b3ca97a9,1758872204,108,52392865,7553
0x62bb362d63f14449398b79ebc46574f859a6045d,3412357599,1123,72976373,12939
0x3207d4728c32391405c7122e59ccb115a4af31ea,0,2,0,0
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,12116667,10,4348571,19
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,0,1,0,0
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,37644200,10,7664856,176
0xf0be2e87e6fdb2cd1c587a585c301679e3a35d1a,0,40,0,0
0x55a5705453ee82c742274154136fce8149597058,45282615,2,8406607,83
0x366a6bbdc02014dccd16426bfe43388825736cb4,0,5,0,0
0x131ec028bb8bd936a3416635777d905497f3d21f,71227,23,333409,2
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,86274681,149,11603705,841
0x9b5f6df2c7a331697cf2616ca884594f6afdc07d,0,7,0,0
0xb897559f4dcea628b48376e969bd0f81cf4b1dea,653356,1,1009787,15
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,538309,1,916580,3
