referrerId,rewardAmount,referralCount,kpi,linearProportion,powerProportion,linearReward,powerReward,totalTransactions
0x4ea48e01f1314db0925653e30617b254d1cf5366,5804283602373754564725,313,74675468683,0.11437885,0.07328062,857841435919315011300.00000000,4946442166454439553425.00000000,192333
0xdd304336cf878df7d2647435d5f57c2345b140c1,0,1,0,0.00000000,0.00000000,0.00000000,0.00000000,0
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,510617257925678541750,16263,768483864,0.00117707,0.00743391,8828030315726161725.00000000,501789227609952380025.00000000,10884
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,3868637183152726952625,168,36349560933,0.05567586,0.05112693,417568983439136132175.00000000,3451068199713590820450.00000000,1788
0xe38a456433fff7814e40998cf0cbbbd2c885b513,15033396375212449425,3,689047,0.00000105,0.00022259,7915491905448975.00000000,15025480883307000450.00000000,15
0x2c2bc76b97bce84a5a9c6e2835ab13306b964cf1,9985647524593940441550,93055,187306624654,0.28689365,0.11605844,2151702382109942762775.00000000,7833945142483997678775.00000000,1042730
0x181313c4aab54fd818c727665c090dd4021d6429,0,1,0,0.00000000,0.00000000,0.00000000,0.00000000,0
0x80dadebda19e5c010c4417985a4c05d0a8008a81,24812994600775376325,65,1875840,0.00000287,0.00036728,21548887573587075.00000000,24791445713201789250.00000000,1
0x66582d24fead72555adac681cc621cacbb208324,10696586757475083717600,52065,209655801110,0.32112541,0.12278734,2408440638471147739350.00000000,8288146119003935978250.00000000,908963
0x4821ced48fb4456055c86e42587f61c1f39c6315,209695126324229579550,10,132267191,0.00020259,0.00308408,1519431736466417925.00000000,208175694587763161625.00000000,535
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,1748927445320432929725,259,8340607079,0.01277513,0.02449057,95813504478439158825.00000000,1653113940841993770900.00000000,2332
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,132110745953510951025,23,52780418,0.00008084,0.00194821,606319991880400500.00000000,131504425961630550525.00000000,138
0x60b979de2c961ac884e6a5d921cdbfa0f454eaa4,158290251087227834250,27,75634439,0.00011584,0.00233216,868857697192899150.00000000,157421393390034935100.00000000,816
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,31139452228792405575,1,2953026,0.00000452,0.00046082,33923162570304225.00000000,31105529066222101350.00000000,27
0x7320f31d71a5294f04f7eeeb101418feed3d3119,48838624686597168225,4,7254967,0.00001111,0.00072230,83342112457930425.00000000,48755282574139237800.00000000,43
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,182284014580261259550,12,100136075,0.00015337,0.00268346,1150322534030237775.00000000,181133692046231021775.00000000,212
0x809c9f8dd8ca93a41c3adca4972fa234c28f7714,182163356270732091975,30,100004384,0.00015317,0.00268169,1148809721341813800.00000000,181014546549390278175.00000000,293
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,121571537704381463775,5,44727754,0.00006850,0.00179344,513814260472672875.00000000,121057723443908790900.00000000,102
0x62bb362d63f14449398b79ebc46574f859a6045d,215392522564440422475,1256,139497679,0.00021366,0.00316725,1602492644120679600.00000000,213790029920319742875.00000000,1014
0x20f50b8832f87104853df3fdda47dd464f885a49,0,2,0,0.00000000,0.00000000,0.00000000,0.00000000,0
0x53eaf4cd171842d8144e45211308e5d90b4b0088,777511023105697686450,62,1750817149,0.00268169,0.01122071,20112675870921407325.00000000,757398347234776279125.00000000,4820
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,1212641475475880391675,1741,4142691955,0.00634527,0.01726002,47589561577905661950.00000000,1165051913897974729725.00000000,20671
0xa353557ddfc96325a8ab18e6f6d9c1fc0d7c1ea6,0,1,0,0.00000000,0.00000000,0.00000000,0.00000000,0
0xe6d39bb0a25ff3a1918adc57796656173918afe5,151832130574288799925,25,69619700,0.00010663,0.00223751,799762819966979400.00000000,151032367754321820525.00000000,266
0xc49b8e093600f684b69ed6ba1e36b7dfad42f982,18655168176272898600,1,1060774,0.00000162,0.00027619,12185740610598075.00000000,18642982435662300525.00000000,27
0x3207d4728c32391405c7122e59ccb115a4af31ea,2422358051027560057650,27,15390132712,0.02357274,0.03326759,176795590004196743325.00000000,2245562461023363314325.00000000,1866
0xaf108dd1ac530f1c4bded13f43e336a9cec92b44,31663495657755011475,28,3053143,0.00000467,0.00046856,35073265978486575.00000000,31628422391776524900.00000000,26
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,291193785721252260600,329,253642053,0.00038849,0.00427081,2913736824052589175.00000000,288280048897199671425.00000000,1555
