referrerId,rewardAmount,referralCount,kpi
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,3000000000000000000000,74,147243413420
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,3000000000000000000000,398,101854733761
0xfb7e31f9a59fa2722e1bc0d2d83449b113ee7a24,3000000000000000000000,10,93966302800
0x4ea48e01f1314db0925653e30617b254d1cf5366,2310413379474674711280,306,60178357043
0x22db5ade0850a5342729d519f4a4b556bcbbc572,1789972197590795394213,7,46622646389
0xda404bfda2a5dcda88fd2aa9b9e0c32a677bc8eb,1019645926707694469910,3,26558284842
0x3207d4728c32391405c7122e59ccb115a4af31ea,840936841326793046634,7,21903525117
0x49e59f6267401e05b482b0020a1a65d63e782ea4,28409485102055182217,455,739969805
0x53eaf4cd171842d8144e45211308e5d90b4b0088,8810984807711186760,81,229495983
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,836002752548284738,11,21775009
0xc5cf2e4db61a858a2dd969da60675cccd93db899,411144448058693761,12,10708905
0x402cdb0ce0527787ac85ca93610af03ccba49f99,393950210906759547,1,10261054
0xe86e5053ab3d18f533d4bfbee79409c218e70b2e,165398747443614906,22,4308071
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,4688831318656029,1806,122128
0x22886c71a4c1fa2824bd86210ead1c310b3d7cf5,0,85,0
0x876e807dfe068145caff46f7c77df10e5ae8e308,0,2,0
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,0,1,0
0xe10268425dccd9de5fa1b3acb73028c85cf01bab,0,3,0
0xaf108dd1ac530f1c4bded13f43e336a9cec92b44,0,2,0
0xf0be2e87e6fdb2cd1c587a585c301679e3a35d1a,0,40,0
0x55a5705453ee82c742274154136fce8149597058,0,1,0
0x366a6bbdc02014dccd16426bfe43388825736cb4,0,1,0
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,0,2,0
0x9b5f6df2c7a331697cf2616ca884594f6afdc07d,0,7,0
0x10265305e8b7ce057d70875f0fd44f2ee48456cb,0,3,0
